qid,champ,valeur
Q43274,branch_id,24
Q36812,branch_id,24
Q152316,branch_id,24
Q151754,branch_id,24
Q153330,branch_id,24
Q154920,branch_id,24
Q13590412,branch_id,24
Q18002970,branch_id,24
Q80976,last_name,Mountbatten
Q40787,last_name,Romanov
Q152094,last_name,Romanov
Q151130,last_name,Romanov
Q156548,last_name,Grèce et Danemark
Q102139,last_name,Danemark
Q57287,last_name,Norvège
Q1004037,last_name,Danemark
Q165241,last_name,Norvège
Q45068,last_name,Suède
Q156390,last_name,Suède
Q76927,last_name,Windsor
Q9439,first_name,Victoria
Q9682,first_name,Elizabeth
Q43274,first_name,Charles
Q36812,first_name,William
Q152316,first_name,Harry
Q80976,first_name,Philip
Q40787,first_name,Nicolas
Q280856,first_name,George
Q590227,first_name,Edward
Q20875,first_name,Edward
Q269412,first_name,George
Q153815,first_name,Margaret
Q152245,first_name,Albert
Q10633,first_name,Elizabeth
Q152239,first_name,Camilla
Q3304418,first_name,Meghan
Q10479,first_name,Catherine
Q9685,first_name,Diana
Q151754,first_name,Anne
Q153330,first_name,Andrew
Q154920,first_name,Edward
Q13590412,first_name,George
Q18002970,first_name,Charlotte
Q19943,first_name,Juan Carlos
Q191045,first_name,Felipe
Q152316,last_name,Windsor
Q3304418,last_name,Windsor
Q10479,last_name,Windsor
Q152239,last_name,Windsor
Q9685,last_name,Spencer
